wallet_id,pool_id,reason,metric,value,threshold
0x0026075dee1b174b6dfe5585558b885d33bf3d80,,negative_value,lp_scores[0].retained_liquidity,-166.0971006770178,0
0x001d9f0c3b75faf962b891b654ec9e57ab0702fe,,negative_value,lp_scores[0].retained_liquidity,-357.2514194803816,0
0x0083c63bcdc61e96e2f90cb3a14129b4b3379859,,negative_value,lp_scores[0].retained_liquidity,-153.3960812973246,0
0x00677b7e83c68fef37e64dfc32d35194b53b0a9a,,negative_value,lp_scores[0].retained_liquidity,-21.88146620861695,0
0x00f1060fe72b9b153233520b0c731c44967c8bf6,,negative_value,lp_scores[0].retained_liquidity,-82.94020702658874,0
0x00d600db14e3a0468d68d8a13d8d307816ace347,,negative_value,lp_scores[0].retained_liquidity,-10832.8634074441,0
0x009a97ba09273ae0e06597ec8298778a415fe182,,negative_value,lp_scores[0].retained_liquidity,-364.607353675422,0
0x010c5d8cf8f1d6bd2c2306ea3210c469e67bbd52,,negative_value,lp_scores[0].retained_liquidity,-72.29719593819277,0
0x01327283e8903603e55b5e9c724f0f5604a3660b,,negative_value,lp_scores[0].retained_liquidity,-15589.495689623189,0
0x0101b58c3f766ff6f608278cc220fea4411a0101,,negative_value,lp_scores[0].retained_liquidity,-12.064168346645602,0
0x00dfb0d32722d7820df685e1b93f33774e83892e,,negative_value,lp_scores[0].retained_liquidity,-77.55083670075692,0
0x008a7af5d637fa9af2e515191b8f0f31fe8ec4c5,,negative_value,lp_scores[0].retained_liquidity,-0.0061765479767927,0
0x0074a88adb50e9a1134718137db0280511276b9c,,negative_value,lp_scores[0].retained_liquidity,-908.7542187507106,0
0x00eafe0de090f3bc023c1156f2bc42fb4550907b,,negative_value,lp_scores[0].retained_liquidity,-0.208210128673727,0
0x00e47e21e505815ba7f4bd3dbae6607ebe879b4e,,negative_value,lp_scores[0].retained_liquidity,-619.0810757985137,0
0x00b647981438589604651c7974fe46564baa77fd,,negative_value,lp_scores[0].retained_liquidity,-108.12894111536298,0
0x00edcb1e21e3ccbf1bda0f924f1a19a475da257a,,negative_value,lp_scores[0].retained_liquidity,-897.1748178450616,0
0x00e773567bcb92144e4b18756f17376701cd4374,,negative_value,lp_scores[0].retained_liquidity,-11.38784024854168,0
0x006929f17a092110b71c495883c53673c2f4ff3d,,negative_value,lp_scores[0].retained_liquidity,-60.12005088950861,0
0x0129d0acdc38309abd86d28df4aad634c5adce4c,,negative_value,lp_scores[0].retained_liquidity,-4.020426000000043,0
0x0000ce08fa224696a819877070bf378e8b131acf,,negative_value,lp_scores[0].retained_liquidity,-27.312623999998323,0
0x0035ea81752aff17baadc87f3492792b6d8becf9,,negative_value,lp_scores[0].retained_liquidity,-30.352949999999964,0
0x0039b625b1d8632c7a0057c964ec58a9f39789d3,,negative_value,lp_scores[0].retained_liquidity,-827.365094140172,0
0x0010649be53c7b6602997a4909e9896e7ffcfdd4,,negative_value,lp_scores[0].retained_liquidity,-14.311176035944072,0
0x004d7522521a917319a0161c6c7209ce93733cc6,,negative_value,lp_scores[0].retained_liquidity,-1529.9891099870874,0
0x002f0ce8818cd41e82e080ad4fb24c04bec6a884,,negative_value,lp_scores[0].retained_liquidity,-16.20103791221527,0
0x0089136bdac1c2dc7983bd67efff8bddba016b07,,negative_value,lp_scores[0].retained_liquidity,-4.234728322022647,0
0x0000000a7e2039afd2a7a41dbbcc74c3f41f8f94,,negative_value,lp_scores[0].retained_liquidity,-49.67647,0
0x00062acefae5c760cc18cac5a98d84e0ced0cfd1,,negative_value,lp_scores[0].retained_liquidity,-37.66618931285984,0
0x007235950ca3cca963e0e994062ef8820dd9a9f3,,negative_value,lp_scores[0].retained_liquidity,-90576.57402624376,0
0x009ae54bf26fccaa4c5a1443ebded3e472849371,,negative_value,lp_scores[0].retained_liquidity,-8434.08239125523,0
0x01247fdf97ef4ce628d1e639b83a79a78dc1bb8e,,negative_value,lp_scores[0].retained_liquidity,-14.67913189065638,0
0x000000000002e33d9a86567c6dfe6d92f6777d1e,,negative_value,lp_scores[0].retained_liquidity,-31782.5148929212,0
0x004098bb5b1d5285e4347bfebfe65b36d20fc697,,negative_value,lp_scores[0].retained_liquidity,-6819.794728842999,0
0x0086cfbe3086baf741526cac344fede1e0f59d4f,,negative_value,lp_scores[0].retained_liquidity,-155.9370334672276,0
0x00357027db905b2d04765c7d46a82b61f983aa53,,negative_value,lp_scores[0].retained_liquidity,-1.133053893144421,0
0x000b85652fc321561cdf2bcadb07b61d8ab9ab8d,,negative_value,lp_scores[0].retained_liquidity,-481.6096592721369,0
0x000000697bb288f2528042e8844b65cd32beafca,,negative_value,lp_scores[0].retained_liquidity,-72.31461098124637,0
0x000000a8faeecce8d814879068575dba0a473926,,negative_value,lp_scores[0].retained_liquidity,-1.4063996967288404,0
0x00e345e3e725e284449a3112635ceb65ad6efd04,,negative_value,lp_scores[0].retained_liquidity,-44.314938293046,0
0x001c2113cfc6037e0ea1015a7dc7289de072e7fe,,negative_value,lp_scores[0].retained_liquidity,-8.812728958233745,0
0x00002b503a75998c97508916a74fdb41934fa030,,negative_value,lp_scores[0].retained_liquidity,-73612.24157610751,0
0x00e173806d025484091145ca79d5d830f3d38b4f,,negative_value,lp_scores[0].retained_liquidity,-11.598970743391874,0
0x00b3889344c1f6dc1e3dd6dedcb61c75bb587a2b,,negative_value,lp_scores[0].retained_liquidity,-309.5786752832355,0
0x006d9fe4c0f5350f084ad48154588439391cdede,,negative_value,lp_scores[0].retained_liquidity,-1118.6928921008712,0
0x009a84f6e236a3e337780fcadda83224fd356e40,,negative_value,lp_scores[0].retained_liquidity,-662.8562011431204,0
0x01296c92a09c4fad021df2639c54931a5b96de2e,,negative_value,lp_scores[0].retained_liquidity,-63.13000767640165,0
